영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
피아니스트,4.0,4.14627,223500.0,12세 관람가,드라마,"프랑스, 독일, 폴란드, 영국, 네덜란드",148.0,2002.0
하녀,3.0,2.90579,221605.0,청소년 관람불가,스릴러,한국,106.0,2010.0
퍼시픽 림,1.0,3.23299,149522.0,12세 관람가,SF,미국,131.0,2013.0
월드워Z,2.0,3.67118,313292.0,15세 관람가,SF,미국,115.0,2013.0
감시자들,2.0,3.52199,292840.0,15세 관람가,액션,한국,119.0,2013.0
더 테러 라이브,3.0,3.56791,398923.0,15세 관람가,스릴러,한국,97.0,2013.0
은밀하게 위대하게,2.0,3.25676,479798.0,15세 관람가,액션,한국,123.0,2013.0
관상,4.0,3.65164,487752.0,15세 관람가,드라마,한국,139.0,2013.0
옹박 - 무에타이의 후예,2.0,3.19149,108789.0,15세 관람가,액션,태국,100.0,2003.0
그래비티,5.0,3.97311,337730.0,12세 관람가,SF,"미국, 영국",90.0,2013.0
변호인,4.0,4.20167,521419.0,15세 관람가,드라마,한국,127.0,2013.0
월터의 상상은 현실이 된다,5.0,3.77627,164322.0,12세 관람가,드라마,미국,114.0,2013.0
플랜맨,3.0,2.98593,68082.0,15세 관람가,코미디,한국,115.0,2013.0
사이드 이펙트,4.0,3.28288,12364.0,청소년 관람불가,스릴러,미국,106.0,2013.0
결혼전야,3.0,3.08538,49669.0,15세 관람가,로맨틱 코미디,한국,118.0,2013.0
어바웃 타임,5.0,4.2667,447452.0,15세 관람가,로맨스/멜로,영국,123.0,2013.0
집으로 가는 길,3.0,3.63746,58901.0,15세 관람가,드라마,한국,131.0,2013.0
짝패,3.0,3.33946,112551.0,청소년 관람불가,액션,한국,92.0,2006.0
데자뷰,3.0,3.62249,78875.0,12세 관람가,SF,미국,126.0,2006.0
똥파리,3.0,3.6646,115624.0,청소년 관람불가,드라마,한국,130.0,2008.0
수상한 고객들,3.0,3.10074,79405.0,15세 관람가,코미디,한국,124.0,2011.0
디스 민즈 워,3.0,3.44805,124565.0,15세 관람가,로맨틱 코미디,미국,97.0,2012.0
예스 맨,4.0,3.54791,177860.0,15세 관람가,코미디,미국,104.0,2008.0
공모자들,2.0,3.36338,181160.0,청소년 관람불가,범죄,한국,111.0,2012.0
비스티 보이즈,3.0,2.90921,81379.0,청소년 관람불가,범죄,한국,123.0,2008.0
17 어게인,3.0,3.56401,121279.0,,로맨틱 코미디,미국,102.0,2009.0
미스 리틀 선샤인,4.0,3.8692,56883.0,15세 관람가,코미디,미국,102.0,2006.0
눈에는 눈 이에는 이,3.0,3.09769,71197.0,15세 관람가,스릴러,한국,101.0,2008.0
품행 제로,2.0,3.12293,137559.0,15세 관람가,코미디,한국,99.0,2002.0
알.이.씨,2.0,3.36064,81564.0,청소년 관람불가,공포,스페인,78.0,2007.0
싸움의 기술,3.0,3.08136,197646.0,15세 관람가,코미디,한국,95.0,2005.0
서유기 - 월광보합,5.0,3.9259,63161.0,15세 관람가,코미디,홍콩,88.0,1994.0
킬 빌 - 2부,5.0,3.65659,127548.0,청소년 관람불가,액션,미국,138.0,2004.0
억셉티드,4.0,3.67047,57722.0,,코미디,미국,90.0,2006.0
13 구역,2.0,3.71408,154832.0,15세 관람가,액션,프랑스,84.0,2004.0
"장화, 홍련",5.0,3.18378,227252.0,12세 관람가,공포,한국,118.0,2003.0
썸머 워즈,4.0,3.64625,136095.0,전체 관람가,애니메이션,일본,113.0,2009.0
첫 키스만 50번째,3.0,3.72445,182186.0,15세 관람가,로맨틱 코미디,미국,99.0,2004.0
여배우들,1.0,2.69881,137837.0,12세 관람가,드라마,한국,104.0,2009.0
복수는 나의 것,3.0,3.68706,93135.0,청소년 관람불가,스릴러,한국,120.0,2002.0
엑스맨,3.0,3.8104,223576.0,12세 관람가,판타지,미국,104.0,2000.0
