영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
비포 선라이즈,4.5,4.03776,,"149,589","29,655","2,247",리처드 링클레이터,"[에단 호크, 줄리 델피, 안드레아 에커트]",15세 관람가,로맨스/멜로,"오스트리아, 미국",100.0,1995.0,"{""1"":412,""2"":3055,""3"":489,""4"":5108,""5"":1758,""6"":19684,""7"":10359,""8"":47092,""9"":12853,""10"":48779}",
초속 5센티미터,5.0,3.69382,,"112,045","14,999","1,655",신카이 마코토,"[미즈하시 켄지, 하나무라 사토미]",전체 관람가,애니메이션,일본,62.0,2007.0,"{""1"":737,""2"":3258,""3"":1014,""4"":7007,""5"":3367,""6"":21699,""7"":11377,""8"":33027,""9"":7024,""10"":23535}",
나를 찾아줘,3.0,3.9742,,"135,876","19,361","9,132",데이빗 핀처,"[벤 애플렉, 로자먼드 파이크, 닐 패트릭 해리스]",청소년 관람불가,스릴러,미국,145.0,2014.0,"{""1"":432,""2"":682,""3"":566,""4"":2110,""5"":2951,""6"":10930,""7"":22818,""8"":48228,""9"":29609,""10"":17550}",
미드나잇 인 파리,4.0,3.90653,,"174,743","36,521","3,652",우디 앨런,"[오웬 윌슨, 마리옹 꼬띠아르 , 레이첼 맥아담스]",15세 관람가,로맨틱 코미디,"미국, 스페인",94.0,2011.0,"{""1"":540,""2"":2954,""3"":755,""4"":6454,""5"":3172,""6"":25473,""7"":18714,""8"":58835,""9"":18028,""10"":39818}",
그랜드 부다페스트 호텔,5.0,4.01767,4.5,"170,189","31,085","6,945",웨스 앤더슨,"[랄프 파인즈, 토니 레볼로리, 에드워드 노튼]",청소년 관람불가,드라마,"미국, 독일, 영국",100.0,2014.0,"{""1"":718,""2"":1270,""3"":935,""4"":3370,""5"":3827,""6"":16429,""7"":23133,""8"":52551,""9"":31862,""10"":36094}",지나온 적 없는 어제의 세계들에 대한 근원적 노스탤지어.
매드 맥스: 분노의 도로,4.0,4.04374,,"197,228","8,501","12,132",조지 밀러,"[톰 하디, 샤를리즈 테론, 니콜라스 홀트]",15세 관람가,액션,"오스트레일리아, 미국",120.0,2015.0,"{""1"":1490,""2"":2309,""3"":1349,""4"":4364,""5"":4766,""6"":16571,""7"":24116,""8"":53565,""9"":40299,""10"":48399}",
엣지 오브 투모로우,3.5,3.96296,,"225,267","10,714","6,440",더그 라이만,"[톰 크루즈, 에밀리 블런트, 샤롯 라일리]",12세 관람가,액션,미국,113.0,2014.0,"{""1"":502,""2"":1003,""3"":941,""4"":3334,""5"":5231,""6"":22810,""7"":40654,""8"":75987,""9"":37065,""10"":37740}",
쥬라기 공원,4.0,3.87411,,"188,541","2,363",962,스티븐 스필버그,"[샘 닐, 로라 던, 제프 골드브럼]",12세 관람가,SF,미국,123.0,1993.0,"{""1"":461,""2"":3089,""3"":649,""4"":7525,""5"":2662,""6"":35468,""7"":14736,""8"":67778,""9"":10963,""10"":45210}",
엑스맨: 데이즈 오브 퓨처 패스트,4.0,4.03755,4.0,"202,434","8,062","4,601",브라이언 싱어,"[휴 잭맨, 제임스 맥어보이, 마이클 패스벤더]",12세 관람가,액션,미국,134.0,2014.0,"{""1"":547,""2"":946,""3"":721,""4"":2902,""5"":4252,""6"":20105,""7"":28999,""8"":67366,""9"":31665,""10"":44931}","약은 약사에게, &#x27;엑스맨&#x27;은 브라이언 싱어에게."
노인을 위한 나라는 없다,4.5,3.91386,,"126,654","31,862","2,657",조엘 코엔,"[하비에르 바르뎀, 토미 리 존스, 조슈 브롤린]",청소년 관람불가,스릴러,미국,122.0,2007.0,"{""1"":459,""2"":3318,""3"":523,""4"":6086,""5"":1799,""6"":18620,""7"":9158,""8"":40236,""9"":12849,""10"":33606}",
킹스맨 : 시크릿 에이전트,4.0,4.16182,,"288,696","10,265","14,247",매튜 본,"[태론 에거튼, 콜린 퍼스, 사무엘 L. 잭슨]",청소년 관람불가,액션,"미국, 영국",128.0,2015.0,"{""1"":802,""2"":1311,""3"":944,""4"":3316,""5"":4985,""6"":19027,""7"":35876,""8"":84490,""9"":62282,""10"":75663}",
인터스텔라,4.5,4.31023,,"345,271","11,782","15,881",크리스토퍼 놀란,"[매튜 맥커너히, 앤 해서웨이, 제시카 차스테인]",12세 관람가,SF,"미국, 영국",169.0,2014.0,"{""1"":1098,""2"":1756,""3"":1238,""4"":3820,""5"":5013,""6"":19628,""7"":31615,""8"":75827,""9"":71713,""10"":133563}",
위플래쉬,4.0,4.11632,,"165,181","21,200","12,593",다미엔 차젤레,"[마일즈 텔러, J.K. 시몬스, 폴 레이저]",15세 관람가,드라마,미국,106.0,2014.0,"{""1"":972,""2"":1628,""3"":970,""4"":3185,""5"":3575,""6"":12791,""7"":19378,""8"":40930,""9"":36567,""10"":45185}",
비긴 어게인,4.0,4.07171,,"332,273","16,980","11,078",존 카니,"[키이라 나이틀리, 마크 러팔로, 애덤 리바인]",15세 관람가,드라마,미국,104.0,2013.0,"{""1"":1367,""2"":2511,""3"":1630,""4"":5788,""5"":8061,""6"":31808,""7"":44802,""8"":89955,""9"":58274,""10"":88077}",
이미테이션 게임,4.0,3.8334,,"161,022","16,670","6,616",모튼 틸덤,"[베네딕트 컴버배치, 키이라 나이틀리, 매튜 구드]",15세 관람가,드라마,"미국, 영국",114.0,2014.0,"{""1"":641,""2"":1311,""3"":855,""4"":3356,""5"":4960,""6"":20294,""7"":34024,""8"":50880,""9"":24067,""10"":20634}",
그녀,4.5,4.00045,4.0,"176,084","34,142","8,377",스파이크 존즈,"[호아킨 피닉스, 스칼렛 요한슨, 에이미 아담스]",청소년 관람불가,드라마,미국,126.0,2013.0,"{""1"":960,""2"":1884,""3"":1141,""4"":4066,""5"":4404,""6"":16686,""7"":24186,""8"":51203,""9"":32808,""10"":38746}",대상(Her)이 주체(She)가 되는 순간에 찾아오는 어른의 사랑.
누구나 비밀은 있다,2.5,2.524,,"40,000",459,258,장현수,"[이병헌, 최지우, 추상미]",청소년 관람불가,로맨틱 코미디,한국,105.0,2004.0,"{""1"":1406,""2"":3325,""3"":2508,""4"":8986,""5"":4953,""6"":11697,""7"":3143,""8"":3095,""9"":208,""10"":679}",
글루미 썬데이,4.0,3.70622,,"28,381","9,412",353,롤프 슈벨,"[조아킴 크롤, 스테파노 디오니시, 벤 벡커]",청소년 관람불가,로맨스/멜로,"독일, 헝가리",112.0,1999.0,"{""1"":73,""2"":438,""3"":134,""4"":1298,""5"":736,""6"":6086,""7"":3735,""8"":9685,""9"":1959,""10"":4237}",
공공의 적,3.0,3.78622,,"228,114","4,925",642,강우석,"[설경구, 이성재, 강신일]",청소년 관람불가,스릴러,한국,138.0,2002.0,"{""1"":594,""2"":3673,""3"":954,""4"":9600,""5"":4096,""6"":48171,""7"":20345,""8"":85783,""9"":9113,""10"":45785}",
40살까지 못해본 남자,2.0,3.12257,,"15,819","2,588",199,주드 아패토우,"[스티브 카렐, 캐서린 키너, 폴 러드]",청소년 관람불가,코미디,미국,115.0,2005.0,"{""1"":142,""2"":660,""3"":252,""4"":1783,""5"":1134,""6"":5326,""7"":2139,""8"":3367,""9"":265,""10"":751}",
아메리칸 뷰티,4.5,3.76219,4.0,"76,360","20,500","1,051",샘 멘데스,"[케빈 스페이시, 아네트 베닝, 미나 수바리]",청소년 관람불가,드라마,미국,122.0,1999.0,"{""1"":175,""2"":1410,""3"":321,""4"":3467,""5"":1277,""6"":15470,""7"":7609,""8"":27989,""9"":6124,""10"":12518}","장밋빛 꿈과 핏빛 현실, 안에서부터 무너지는 중산층의 꿈."
8 마일,3.0,3.67604,,"114,857","7,150",986,커티스 핸슨,"[에미넴, 킴 베신저, 브리터니 머피]",청소년 관람불가,드라마,미국,110.0,2002.0,"{""1"":389,""2"":2083,""3"":627,""4"":5370,""5"":3056,""6"":25900,""7"":14647,""8"":39126,""9"":6328,""10"":17331}",
에이트 빌로우,2.5,3.77096,,"40,949","3,862",347,프랭크 마샬,"[폴 워커, 브루스 그린우드, 문 블러드굿]",전체 관람가,드라마,미국,120.0,2006.0,"{""1"":100,""2"":555,""3"":178,""4"":1481,""5"":893,""6"":8305,""7"":5116,""8"":14661,""9"":2809,""10"":6851}",
로맨틱 아일랜드,1.0,2.46445,,"10,224",718,67,강철우,"[이선균, 이수경, 이문식]",15세 관람가,로맨틱 코미디,한국,107.0,2008.0,"{""1"":424,""2"":1267,""3"":655,""4"":2360,""5"":979,""6"":2689,""7"":520,""8"":945,""9"":57,""10"":328}",
황산벌,0.5,3.00628,4.0,"175,495","1,148",588,이준익,"[박중훈, 정진영, 이문식]",15세 관람가,코미디,한국,104.0,2003.0,"{""1"":2677,""2"":11759,""3"":3934,""4"":26234,""5"":10756,""6"":54950,""7"":16747,""8"":35051,""9"":2742,""10"":10645}",요절복통 진행되지만 결국 남는 건 가슴 속 검푸른 멍 하나.
생활의 발견,2.0,3.25486,,"24,305","2,220",261,홍상수,"[김상경, 추상미, 예지원]",청소년 관람불가,로맨스/멜로,한국,115.0,2002.0,"{""1"":185,""2"":1015,""3"":351,""4"":2663,""5"":1139,""6"":6969,""7"":3157,""8"":6405,""9"":764,""10"":1657}",
맨발의 꿈,2.0,3.32487,3.0,"24,013",996,172,김태균,"[박희순, 고창석, 프란시스코 프렌큐 아마랄...]",전체 관람가,드라마,"한국, 일본",121.0,2010.0,"{""1"":175,""2"":695,""3"":324,""4"":2004,""5"":1346,""6"":7365,""7"":3247,""8"":6190,""9"":725,""10"":1942}",스포츠와 휴먼드라마의 찰떡 궁합.
"그 시절, 우리가 좋아했던 소녀",2.5,3.98496,,"210,095","25,167","3,953",구파도,"[가진동, 진연희, 언승우]",15세 관람가,로맨스/멜로,대만,107.0,2011.0,"{""1"":820,""2"":3010,""3"":1245,""4"":7081,""5"":5197,""6"":27173,""7"":22583,""8"":59542,""9"":22404,""10"":61041}",
박수건달,1.0,2.96825,,"233,706","2,061",842,조진규,"[박신양, 정혜영, 김정태]",15세 관람가,코미디,한국,127.0,2012.0,"{""1"":5160,""2"":17861,""3"":6439,""4"":35861,""5"":15801,""6"":67644,""7"":19361,""8"":44354,""9"":3617,""10"":17608}",
꽃보다 남자,2.5,2.78668,,"36,797",484,159,이시이 야스하루,"[아베 츠요시, 이노우에 마오, 마츠모토 준]",12세 관람가,로맨스/멜로,일본,130.0,2008.0,"{""1"":1528,""2"":3324,""3"":1606,""4"":6125,""5"":3025,""6"":9986,""7"":2810,""8"":5288,""9"":502,""10"":2603}",
어메이징 스파이더맨 2,3.5,3.58656,,"186,029","4,882","3,758",마크 웹,"[앤드류 가필드, 엠마 스톤, 제이미 폭스]",12세 관람가,액션,미국,142.0,2014.0,"{""1"":1210,""2"":2123,""3"":2327,""4"":8699,""5"":11206,""6"":38915,""7"":34900,""8"":50366,""9"":12465,""10"":23818}",
무간도 3 - 종극무간,5.0,3.73584,,"34,346","2,529",279,맥조휘,"[유덕화, 양조위, 여명]",15세 관람가,범죄,홍콩,117.0,2003.0,"{""1"":121,""2"":779,""3"":176,""4"":1895,""5"":840,""6"":7213,""7"":3462,""8"":10762,""9"":1953,""10"":7145}",
