영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
클라우드 아틀라스,3.0,3.25892,,"78,467","15,123","1,471",라나 워쇼스키,"[톰 행크스, 휴 그랜트, 배두나]",청소년 관람불가,SF,"미국, 독일",172.0,2012.0,"{""1"":943,""2"":4105,""3"":1447,""4"":9384,""5"":4481,""6"":19819,""7"":8019,""8"":18212,""9"":3397,""10"":8660}",
나우 유 씨 미 : 마술사기단,3.0,3.51799,,"266,590","11,429","3,144",루이스 리터리어,"[제시 아이젠버그, 마크 러팔로, 우디 해럴슨]",12세 관람가,범죄,"미국, 프랑스",115.0,2013.0,"{""1"":1774,""2"":5125,""3"":3477,""4"":17676,""5"":14406,""6"":62680,""7"":38677,""8"":75206,""9"":13628,""10"":33941}",
올드보이,5.0,4.08161,,"426,109","17,403","2,792",박찬욱,"[최민식, 유지태, 강혜정]",청소년 관람불가,스릴러,한국,120.0,2003.0,"{""1"":1247,""2"":6516,""3"":1193,""4"":13570,""5"":4519,""6"":55266,""7"":24173,""8"":137720,""9"":38099,""10"":143806}",
아내가 결혼했다,3.0,3.1362,,"120,409","3,515",777,정윤수,"[박찬, 손예진, 김주혁]",청소년 관람불가,로맨틱 코미디,한국,119.0,2008.0,"{""1"":1547,""2"":5198,""3"":2242,""4"":14666,""5"":7989,""6"":38101,""7"":13999,""8"":26421,""9"":2538,""10"":7708}",
바르게 살자,4.0,3.23869,,"79,057","1,681",530,라희찬,"[정재영, 손병호, 고창석]",15세 관람가,코미디,한국,102.0,2007.0,"{""1"":619,""2"":3302,""3"":1109,""4"":8733,""5"":4214,""6"":24212,""7"":8828,""8"":19951,""9"":1996,""10"":6093}",
셜록 홈즈,4.0,3.69325,2.5,"316,788","8,945",980,가이 리치,"[로버트 다우니 주니어, 주드 로, 레이첼 맥아담스]",12세 관람가,액션,"영국, 오스트레일리아, 미국",128.0,2009.0,"{""1"":917,""2"":5139,""3"":1838,""4"":18027,""5"":9116,""6"":75167,""7"":30646,""8"":103712,""9"":11970,""10"":60256}",액션영웅 홈즈가 세계정복하려는 악당과 싸운다고라고라?
거북이 달린다,4.0,3.2313,3.0,"149,699","2,654",471,이연우,"[차정학, 전해리, 이기호]",15세 관람가,코미디,한국,117.0,2009.0,"{""1"":829,""2"":4594,""3"":1812,""4"":16394,""5"":7831,""6"":52474,""7"":15857,""8"":37739,""9"":2202,""10"":9967}",뛰어난 배우 한 명이 영화를 살렸다.
강철중: 공공의 적 1-1,3.0,3.47147,,"208,980","2,101",502,강우석,"[설경구, 정재영, 문성근]",15세 관람가,범죄,한국,127.0,2008.0,"{""1"":1246,""2"":6684,""3"":2047,""4"":17938,""5"":7645,""6"":56617,""7"":18994,""8"":62533,""9"":5528,""10"":29748}",
해리 포터와 비밀의 방,4.0,3.93393,,"476,823","1,968",963,크리스 콜럼버스,"[다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트]",전체 관람가,판타지,"영국, 미국",162.0,2002.0,"{""1"":1231,""2"":6674,""3"":1675,""4"":17092,""5"":7739,""6"":84456,""7"":39458,""8"":158380,""9"":25448,""10"":134670}",
페이스 오프,3.0,3.86852,3.5,"164,868","8,332",779,오우삼,"[니콜라스 케이지, 존 트라볼타, 도미니크 스웨인]",청소년 관람불가,액션,미국,138.0,1997.0,"{""1"":304,""2"":1535,""3"":436,""4"":4676,""5"":2581,""6"":29990,""7"":16887,""8"":66684,""9"":10124,""10"":31651}",할리우드에서도 철저히 오우삼적이어서 성공한 오우삼.
맨 인 블랙,3.0,3.89125,,"349,014","6,582",791,베리 소넨필드,"[토미 리 존스, 윌 스미스, 토니 샬호브]",12세 관람가,SF,미국,98.0,1997.0,"{""1"":567,""2"":2890,""3"":936,""4"":9839,""5"":5305,""6"":64526,""7"":34581,""8"":136895,""9"":18022,""10"":75453}",
행오버,3.0,3.64183,,"119,712","7,962",999,토드 필립스,"[저스틴 바사, 제프리 탬버, 브래들리 쿠퍼]",청소년 관람불가,코미디,"미국, 독일",100.0,2009.0,"{""1"":1287,""2"":3875,""3"":1288,""4"":6942,""5"":4165,""6"":22915,""7"":13426,""8"":36346,""9"":6517,""10"":22951}",
청설,4.0,3.80162,,"56,109","12,805",854,청펀펀,"[펑위옌, 천이한, 진연희]",전체 관람가,로맨스/멜로,대만,109.0,2009.0,"{""1"":265,""2"":1064,""3"":359,""4"":2370,""5"":1483,""6"":9560,""7"":6615,""8"":18547,""9"":4219,""10"":11627}",
제리 맥과이어,3.0,3.84398,,"87,846","12,212",593,카메론 크로우,"[톰 크루즈, 쿠바 구딩 쥬니어, 르네 젤위거]",15세 관람가,드라마,미국,138.0,1996.0,"{""1"":154,""2"":1317,""3"":202,""4"":2658,""5"":1057,""6"":16130,""7"":9119,""8"":35775,""9"":5182,""10"":16252}",
프리퀀시,3.0,3.93613,,"70,850","14,750",831,그레고리 호블릿,"[데니스 퀘이드, 제임스 카비젤, 안드레 브라우퍼]",12세 관람가,SF,미국,117.0,2000.0,"{""1"":104,""2"":1038,""3"":169,""4"":2037,""5"":890,""6"":10949,""7"":6723,""8"":26696,""9"":6279,""10"":15965}",
이터널 선샤인,4.0,4.08404,5.0,"283,458","31,801","6,070",미셸 공드리,"[짐 캐리, 케이트 윈슬렛, 커스틴 던스트]",15세 관람가,로맨스/멜로,미국,107.0,2004.0,"{""1"":723,""2"":4951,""3"":872,""4"":10121,""5"":3263,""6"":36031,""7"":16981,""8"":83660,""9"":27477,""10"":99379}",지금 사랑 영화가 내게 줄 수 있는 모든 것.
말할 수 없는 비밀,5.0,4.02288,,"548,546","10,746","2,725",주걸륜,"[주걸륜, 계륜미, 황추생]",12세 관람가,로맨스/멜로,대만,101.0,2007.0,"{""1"":1319,""2"":6953,""3"":1979,""4"":17958,""5"":8631,""6"":80034,""7"":42021,""8"":177152,""9"":39152,""10"":173347}",
바람,4.0,3.99843,,"311,695","14,648","1,836",이성한,"[정우, 황정음, 손호준]",청소년 관람불가,드라마,한국,107.0,2009.0,"{""1"":1034,""2"":4428,""3"":1429,""4"":10331,""5"":5537,""6"":45174,""7"":26591,""8"":99255,""9"":21327,""10"":96589}",
뱀파이어와의 인터뷰,4.0,3.83792,,"104,707","12,673","1,049",닐 조던,"[톰 크루즈, 브래드 피트, 안토니오 반데라스]",청소년 관람불가,공포,미국,123.0,1994.0,"{""1"":305,""2"":2078,""3"":427,""4"":4372,""5"":1803,""6"":18543,""7"":10207,""8"":36668,""9"":7597,""10"":22707}",
매트릭스 3 - 레볼루션,4.0,3.93548,2.5,"226,773","4,862",725,라나 워쇼스키,"[키아누 리브스, 캐리 앤 모스 , 로렌스 피쉬번]",15세 관람가,SF,미국,128.0,2003.0,"{""1"":538,""2"":2911,""3"":862,""4"":9152,""5"":4295,""6"":41344,""7"":16766,""8"":72282,""9"":12179,""10"":66444}",넓이를 깊이로 착각한 결과물.
러브 액츄얼리,4.0,4.05762,,"445,666","20,874","2,251",리처드 커티스,"[휴 그랜트, 콜린 퍼스, 엠마 톰슨]",청소년 관람불가,로맨틱 코미디,"영국, 미국",135.0,2003.0,"{""1"":944,""2"":4509,""3"":1181,""4"":11709,""5"":5482,""6"":64490,""7"":30742,""8"":155289,""9"":29064,""10"":142256}",
업,4.0,4.04388,,"339,524","21,017","3,115",피트 닥터,"[에드워드 애스너, 이순재, 조던 나가이]",전체 관람가,애니메이션,미국,101.0,2009.0,"{""1"":594,""2"":3361,""3"":1061,""4"":9324,""5"":4573,""6"":48107,""7"":27502,""8"":112075,""9"":31350,""10"":101577}",
늑대아이,4.0,3.89114,,"170,625","21,956","2,499",호소다 마모루,"[미야자키 아오이, 오사와 타카오, 쿠로키 하루]",전체 관람가,애니메이션,일본,117.0,2012.0,"{""1"":720,""2"":2675,""3"":1008,""4"":6386,""5"":4103,""6"":27235,""7"":17989,""8"":53356,""9"":14873,""10"":42280}",
월-E,4.0,4.01492,,"322,161","13,093","2,527",앤드류 스탠튼,"[벤 버트, 엘리사 나이트, 제프 가린]",전체 관람가,애니메이션,미국,104.0,2008.0,"{""1"":774,""2"":5078,""3"":1141,""4"":11953,""5"":4630,""6"":47349,""7"":22164,""8"":101093,""9"":26216,""10"":101763}",
매트릭스 2 - 리로디드,4.0,3.92303,,"249,261","5,208",679,앤디 워쇼스키,"[키아누 리브스, 캐리 앤 모스 , 로렌스 피쉬번]",15세 관람가,SF,미국,138.0,2003.0,"{""1"":556,""2"":2842,""3"":926,""4"":9663,""5"":4323,""6"":45325,""7"":19621,""8"":84889,""9"":13280,""10"":67836}",
나 홀로 집에,3.0,3.9823,,"566,913","1,882","1,727",크리스 콜럼버스,"[맥컬리 컬킨, 조 페시, 다니엘 스턴]",전체 관람가,코미디,미국,105.0,1990.0,"{""1"":1032,""2"":5414,""3"":1599,""4"":16206,""5"":7881,""6"":94380,""7"":45479,""8"":203987,""9"":31623,""10"":159312}",
캐치 미 이프 유 캔,3.0,4.05253,,"367,009","28,541","2,569",스티븐 스필버그,"[레오나르도 디카프리오, 톰 행크스, 크리스토퍼 월켄]",15세 관람가,드라마,미국,140.0,2002.0,"{""1"":574,""2"":2506,""3"":796,""4"":7226,""5"":4365,""6"":48677,""7"":33115,""8"":135556,""9"":34208,""10"":99986}",
메멘토,4.0,4.06945,,"305,705","32,794","3,318",크리스토퍼 놀란,"[가이 피어스, 캐리 앤 모스 , 조 판토리아노]",15세 관람가,스릴러,미국,112.0,2000.0,"{""1"":693,""2"":4791,""3"":762,""4"":9541,""5"":3019,""6"":38286,""7"":19382,""8"":103179,""9"":29112,""10"":96940}",
콘택트,3.0,3.94302,,"78,747","16,349","1,455",로버트 저메키스,"[조디 포스터, 매튜 맥커너히, 윌리엄 피츠너]",12세 관람가,SF,미국,145.0,1997.0,"{""1"":126,""2"":1406,""3"":211,""4"":2681,""5"":926,""6"":12362,""7"":7007,""8"":27048,""9"":7272,""10"":19708}",
피아니스트의 전설,4.0,4.07597,,"45,368","15,525",602,쥬세페 토르나토레,"[팀 로스, 프루이트 테일러 빈스, 멜라니 티에리]",15세 관람가,드라마,이탈리아,123.0,1998.0,"{""1"":121,""2"":621,""3"":136,""4"":1140,""5"":497,""6"":5496,""7"":3574,""8"":15125,""9"":4551,""10"":14107}",
마이너리티 리포트,4.0,3.98606,,"286,830","20,164","1,464",스티븐 스필버그,"[톰 크루즈, 콜린 파렐, 막스 폰 시도우]",15세 관람가,SF,미국,145.0,2002.0,"{""1"":375,""2"":1850,""3"":528,""4"":5848,""5"":3209,""6"":43572,""7"":26364,""8"":116388,""9"":22589,""10"":66107}",
중경삼림,5.0,3.98237,,"81,202","13,844","1,703",왕가위,"[양조위, 왕비, 금성무]",15세 관람가,드라마,홍콩,101.0,1994.0,"{""1"":187,""2"":1362,""3"":230,""4"":2529,""5"":1013,""6"":11668,""7"":7110,""8"":27615,""9"":7684,""10"":21804}",
시간을 달리는 소녀,4.0,4.02359,,"424,414","14,639","2,828",호소다 마모루,"[나카 리이사, 이시다 타쿠야, 하라 사치에]",전체 관람가,애니메이션,일본,97.0,2006.0,"{""1"":832,""2"":3702,""3"":1189,""4"":10566,""5"":5697,""6"":60970,""7"":35681,""8"":152720,""9"":34154,""10"":118903}",
아마데우스,4.0,4.03018,4.5,"149,600","15,118","1,410",밀로스 포먼,"[F. 머레이 에이브러햄, 톰 헐스, 엘리자베스 베리지]",전체 관람가,드라마,미국,158.0,1984.0,"{""1"":290,""2"":1947,""3"":359,""4"":3712,""5"":1608,""6"":20207,""7"":11697,""8"":54812,""9"":13640,""10"":41328}","흥미로운 각본, 우아한 연출, 좋은 연기를 모두 갖춘 음악영화의 품격."
모노노케 히메,5.0,4.03719,,"287,920","10,960","1,449",미야자키 하야오,"[클레어 데인즈, 마츠다 요지, 빌리 크루덥]",전체 관람가,애니메이션,일본,135.0,1997.0,"{""1"":774,""2"":3446,""3"":906,""4"":7920,""5"":3737,""6"":40465,""7"":21949,""8"":98905,""9"":21740,""10"":88078}",
아이덴티티,5.0,4.05722,,"244,219","18,457","1,953",제임스 맨골드,"[존 쿠삭, 레이 리오타, 아만다 피트]",15세 관람가,스릴러,미국,90.0,2003.0,"{""1"":559,""2"":3099,""3"":588,""4"":6341,""5"":3002,""6"":32015,""7"":19183,""8"":83127,""9"":21644,""10"":74661}",
타인의 삶,5.0,4.08585,,"52,190","36,856","1,231",플로리안 헨켈 폰 도너스...,"[울리쉬 뮤흐, 마르티나 게덱, 세바스티안 코치]",15세 관람가,드라마,독일,137.0,2006.0,"{""1"":121,""2"":867,""3"":139,""4"":1469,""5"":483,""6"":5596,""7"":3780,""8"":17324,""9"":6844,""10"":15567}",
토이 스토리,3.0,4.035,,"376,262","5,276","1,392",존 라세터,"[톰 행크스, 팀 알렌, 애니 파츠]",전체 관람가,애니메이션,미국,77.0,1995.0,"{""1"":736,""2"":3586,""3"":1041,""4"":9728,""5"":4618,""6"":55722,""7"":28332,""8"":133502,""9"":27035,""10"":111962}",
라이언 일병 구하기,3.0,4.11414,,"276,686","16,758","1,390",스티븐 스필버그,"[톰 행크스, 에드워드 번즈, 맷 데이먼]",15세 관람가,전쟁,미국,170.0,1998.0,"{""1"":609,""2"":3680,""3"":692,""4"":7508,""5"":2505,""6"":34289,""7"":15585,""8"":93439,""9"":22226,""10"":96153}",
라이프 오브 파이,5.0,3.98728,,"280,306","36,774","4,481",이안,"[수라즈 샤르마, 이르판 칸, 라프 스팰]",전체 관람가,드라마,미국,127.0,2012.0,"{""1"":1115,""2"":4251,""3"":1361,""4"":9519,""5"":4957,""6"":37694,""7"":25010,""8"":87366,""9"":32502,""10"":76531}",
아이언맨,4.0,4.13979,,"594,134","4,370","2,004",존 파브로,"[로버트 다우니 주니어, 기네스 팰트로우, 테렌스 하워드]",12세 관람가,SF,미국,125.0,2008.0,"{""1"":977,""2"":4645,""3"":1196,""4"":11451,""5"":6219,""6"":72667,""7"":42507,""8"":206135,""9"":38092,""10"":210245}",
죽은 시인의 사회,4.0,4.2235,,"281,540","36,675","2,496",피터 위어,"[로빈 윌리엄스, 에단 호크, 로버트 숀 레오나드]",전체 관람가,드라마,미국,127.0,1989.0,"{""1"":636,""2"":3149,""3"":545,""4"":5354,""5"":2040,""6"":26961,""7"":15502,""8"":89067,""9"":27627,""10"":110659}",
파이트 클럽,4.0,4.14653,4.5,"205,994","23,250","2,754",데이빗 핀처,"[브래드 피트, 에드워드 노튼, 헬레나 본햄 카터]",청소년 관람불가,액션,"미국, 독일",139.0,1999.0,"{""1"":461,""2"":3261,""3"":467,""4"":5785,""5"":1745,""6"":22579,""7"":11734,""8"":63830,""9"":21577,""10"":74555}",현대문명의 허상을 조롱하는 통렬한 블랙코미디.
글래디에이터,4.0,4.14515,,"269,478","10,393","1,194",리들리 스콧,"[러셀 크로우, 호아킨 피닉스, 코니 닐슨]",15세 관람가,액션,"미국, 영국",154.0,2000.0,"{""1"":530,""2"":2450,""3"":569,""4"":5108,""5"":2364,""6"":31611,""7"":17292,""8"":94908,""9"":21919,""10"":92727}",
본 아이덴티티,4.0,4.13832,,"305,371","13,331","1,346",더그 라이만,"[맷 데이먼, 프랑카 포텐테, 크리스 쿠퍼]",12세 관람가,액션,"미국, 체코",118.0,2002.0,"{""1"":597,""2"":3201,""3"":573,""4"":6563,""5"":2784,""6"":36344,""7"":19787,""8"":106303,""9"":20765,""10"":108454}",
세 얼간이,3.0,4.16428,,"559,242","15,652","3,345",라지쿠마르 히라니,"[아미르 칸, 마드하반, 셔먼 조쉬]",12세 관람가,드라마,인도,141.0,2009.0,"{""1"":2026,""2"":8404,""3"":2121,""4"":16272,""5"":7329,""6"":60354,""7"":33252,""8"":154591,""9"":50171,""10"":224722}",
서유기 2 - 선리기연,5.0,4.02658,,"47,749","2,234",636,유진위,"[주성치, 주인, 나가영]",15세 관람가,코미디,홍콩,99.0,1994.0,"{""1"":252,""2"":1620,""3"":171,""4"":1951,""5"":563,""6"":5932,""7"":2620,""8"":13624,""9"":3199,""10"":17817}",
포레스트 검프,5.0,4.29332,,"334,156","31,536","2,315",로버트 저메키스,"[톰 행크스, 로빈 라이트, 게리 시나이즈]",12세 관람가,드라마,미국,142.0,1994.0,"{""1"":576,""2"":2633,""3"":544,""4"":4892,""5"":2239,""6"":28381,""7"":16262,""8"":104163,""9"":31251,""10"":143215}",
인생은 아름다워,3.0,4.39753,,"322,293","33,733","2,529",로베르토 베니니,"[로베르토 베니니, 니콜레타 브라스치, 마리사 파레데스]",전체 관람가,드라마,이탈리아,116.0,1997.0,"{""1"":676,""2"":3202,""3"":497,""4"":4694,""5"":1959,""6"":22444,""7"":11282,""8"":80206,""9"":31120,""10"":166213}",
매트릭스,5.0,4.1953,,"414,450","12,171","2,047",앤디 워쇼스키,"[키아누 리브스, 로렌스 피쉬번, 캐리 앤 모스 ]",12세 관람가,SF,미국,136.0,1999.0,"{""1"":674,""2"":3576,""3"":852,""4"":8900,""5"":3588,""6"":47903,""7"":22035,""8"":132079,""9"":33448,""10"":161395}",
이상한 나라의 앨리스,3.0,3.31026,,"259,550","5,951","1,174",팀 버튼,"[조니 뎁, 앤 해서웨이, 헬레나 본햄 카터]",전체 관람가,판타지,미국,108.0,2010.0,"{""1"":1517,""2"":8220,""3"":3440,""4"":28603,""5"":14774,""6"":79344,""7"":27042,""8"":61259,""9"":6737,""10"":28614}",
나잇 & 데이,3.0,3.33055,,"154,061","3,188",835,제임스 맨골드,"[톰 크루즈, 카메론 디아즈, 폴 다노]",15세 관람가,액션,미국,109.0,2010.0,"{""1"":747,""2"":4505,""3"":1598,""4"":15374,""5"":7109,""6"":48357,""7"":17569,""8"":41363,""9"":3776,""10"":13663}",
우주 전쟁,3.0,3.32315,,"220,977","2,490","1,172",스티븐 스필버그,"[톰 크루즈, 저스틴 채트윈, 다코타 패닝]",12세 관람가,SF,미국,116.0,2005.0,"{""1"":1274,""2"":7068,""3"":2516,""4"":22244,""5"":10924,""6"":66725,""7"":25931,""8"":57995,""9"":6644,""10"":19656}",
부당거래,3.0,3.8242,,"254,399","13,829","1,947",류승완,"[황정민, 류승범, 유해진]",청소년 관람불가,범죄,한국,119.0,2010.0,"{""1"":598,""2"":3742,""3"":949,""4"":10254,""5"":4478,""6"":48571,""7"":23374,""8"":95674,""9"":16570,""10"":50189}",
호빗: 뜻밖의 여정,4.0,3.74929,,"259,784","10,903","1,756",피터 잭슨,"[마틴 프리먼, 이안 맥켈런, 리처드 아미티지]",12세 관람가,판타지,"미국, 뉴질랜드",169.0,2012.0,"{""1"":1290,""2"":6420,""3"":1734,""4"":14229,""5"":6463,""6"":49005,""7"":27181,""8"":82378,""9"":14642,""10"":56442}",
맨 인 블랙 3,3.0,3.67057,,"293,058","5,960",780,베리 소넨필드,"[윌 스미스, 토미 리 존스, 조슈 브롤린]",12세 관람가,SF,미국,106.0,2012.0,"{""1"":894,""2"":5070,""3"":1766,""4"":17973,""5"":8787,""6"":71620,""7"":28189,""8"":92058,""9"":11229,""10"":55472}",
완득이,3.0,3.44705,,"447,775","5,325","1,386",이한,"[김윤석, 유아인, 이자스민]",12세 관람가,드라마,한국,107.0,2011.0,"{""1"":2313,""2"":9472,""3"":4275,""4"":33482,""5"":19306,""6"":133367,""7"":51592,""8"":133551,""9"":11873,""10"":48544}",
아이언맨 2,4.0,3.90757,2.5,"489,838","3,630","1,482",존 파브로,"[로버트 다우니 주니어, 기네스 팰트로우, 미키 루크]",12세 관람가,SF,미국,125.0,2010.0,"{""1"":1196,""2"":5303,""3"":2349,""4"":20021,""5"":12134,""6"":88006,""7"":43104,""8"":158748,""9"":21308,""10"":137669}",두번째 타석에서 헛스윙 크게.
연가시,2.0,2.91864,,"381,110","1,549","1,322",박정우,"[김명민, 문정희, 김동완]",15세 관람가,스릴러,한국,109.0,2012.0,"{""1"":8528,""2"":29091,""3"":9997,""4"":61920,""5"":26259,""6"":119447,""7"":29458,""8"":66512,""9"":4865,""10"":25033}",
쿵푸팬더,2.0,3.75018,4.0,"484,136","1,880","1,172",마크 오스본,"[이안 맥쉐인, 데이빗 크로스, 세스 로건]",전체 관람가,애니메이션,미국,92.0,2008.0,"{""1"":1140,""2"":6076,""3"":2166,""4"":20579,""5"":10762,""6"":109556,""7"":49670,""8"":175952,""9"":19672,""10"":88563}",바닥까지 웃었다.
2012,2.0,3.37832,,"324,902","2,805","1,352",롤랜드 에머리히,"[존 쿠삭, 아만다 피트, 탠디 뉴튼]",12세 관람가,SF,"미국, 캐나다",157.0,2009.0,"{""1"":2247,""2"":10122,""3"":4043,""4"":31681,""5"":15289,""6"":93932,""7"":31981,""8"":88533,""9"":9123,""10"":37951}",
화려한 휴가,1.0,3.61998,,"364,133","5,466","1,112",김지훈,"[김상경, 이요원, 안성기]",12세 관람가,드라마,한국,125.0,2007.0,"{""1"":2693,""2"":9841,""3"":2406,""4"":21863,""5"":10492,""6"":86590,""7"":35048,""8"":116944,""9"":15926,""10"":62330}",
악마를 보았다,3.0,3.67041,,"342,655","7,218","2,075",김지운,"[이병헌, 최민식, 천호진]",청소년 관람불가,공포,한국,144.0,2010.0,"{""1"":3448,""2"":13296,""3"":2532,""4"":21901,""5"":8434,""6"":66325,""7"":28555,""8"":107109,""9"":17557,""10"":73498}",
투모로우,3.0,3.66202,,"398,530","5,491","1,144",롤랜드 에머리히,"[데니스 퀘이드, 제이크 질렌할, 이안 홈]",12세 관람가,SF,미국,123.0,2004.0,"{""1"":937,""2"":4489,""3"":2065,""4"":19252,""5"":11897,""6"":99672,""7"":47066,""8"":137147,""9"":18368,""10"":57637}",
비열한 거리,4.0,3.63347,,"242,460","7,802",749,유하,"[조인성, 천호진, 남궁민]",청소년 관람불가,범죄,한국,141.0,2006.0,"{""1"":851,""2"":4534,""3"":1470,""4"":14365,""5"":6342,""6"":61617,""7"":23219,""8"":83417,""9"":7800,""10"":38845}",
나의 PS 파트너,3.0,3.20358,,"293,205","5,079",981,변성현,"[지성, 김아중, 강경준]",청소년 관람불가,로맨틱 코미디,한국,114.0,2012.0,"{""1"":3915,""2"":14005,""3"":6384,""4"":36019,""5"":17711,""6"":85172,""7"":25800,""8"":66950,""9"":5441,""10"":31808}",
혈의 누,1.0,3.00194,,"120,216","1,702",265,김대승,"[차승원, 박용우, 지성]",청소년 관람불가,스릴러,한국,119.0,2005.0,"{""1"":1011,""2"":7072,""3"":1866,""4"":18872,""5"":6408,""6"":44582,""7"":9581,""8"":24110,""9"":1165,""10"":5549}",
박수칠 때 떠나라,4.0,3.18567,,"118,056","3,295",491,장진,"[차승원, 신하균, 신구]",15세 관람가,코미디,한국,115.0,2005.0,"{""1"":828,""2"":4980,""3"":1549,""4"":14290,""5"":6125,""6"":39576,""7"":12052,""8"":28520,""9"":2372,""10"":7764}",
"달콤, 살벌한 연인",3.0,3.06479,,"149,535","1,495",381,손재곤,"[박용우, 최강희, 조은지]",청소년 관람불가,로맨틱 코미디,한국,110.0,2006.0,"{""1"":1368,""2"":8431,""3"":2502,""4"":22493,""5"":7489,""6"":51199,""7"":11973,""8"":33468,""9"":1568,""10"":9044}",
이글 아이,3.0,3.27754,,"104,426","2,704",395,D.J. 카루소,"[샤이아 라보프, 미쉘 모나한, 에단 엠브리]",12세 관람가,SF,미국,117.0,2008.0,"{""1"":417,""2"":3142,""3"":1099,""4"":10868,""5"":5058,""6"":35935,""7"":10600,""8"":27604,""9"":1921,""10"":7782}",
테이큰 2,2.0,3.37517,,"213,417","5,129","1,260",올리비에 메가턴,"[리암 니슨, 매기 그레이스, 팜케 얀센]",청소년 관람불가,액션,프랑스,92.0,2012.0,"{""1"":1314,""2"":5265,""3"":3477,""4"":21181,""5"":13273,""6"":59114,""7"":24971,""8"":52054,""9"":6188,""10"":26580}",
음란서생,2.0,2.8175,,"110,861","1,261",274,김대우,"[한석규, 이범수, 김민정]",12세 관람가,코미디,한국,139.0,2006.0,"{""1"":2009,""2"":9117,""3"":3144,""4"":21778,""5"":7443,""6"":36976,""7"":7134,""8"":16486,""9"":810,""10"":5964}",
포세이돈,3.0,3.19552,,"46,107","1,548",202,볼프강 페터젠,"[조쉬 루카스, 커트 러셀, 리처드 드레이퍼스]",12세 관람가,액션,미국,98.0,2006.0,"{""1"":254,""2"":1473,""3"":661,""4"":5349,""5"":2883,""6"":15962,""7"":5144,""8"":10516,""9"":842,""10"":3023}",
미인도,2.0,2.70838,,"118,262","1,251",353,전윤수,"[김규리, 김영호, 김남길]",청소년 관람불가,로맨스/멜로,한국,108.0,2008.0,"{""1"":2360,""2"":11339,""3"":3912,""4"":26942,""5"":8486,""6"":38028,""7"":6103,""8"":13748,""9"":780,""10"":6564}",
이웃사람,1.0,3.33938,,"327,733","5,032","1,183",김휘,"[김윤진, 마동석, 천호진]",청소년 관람불가,스릴러,한국,110.0,2012.0,"{""1"":1989,""2"":9666,""3"":3997,""4"":31788,""5"":16577,""6"":102027,""7"":33460,""8"":87937,""9"":7327,""10"":32965}",
엑스맨: 퍼스트 클래스,3.0,3.95766,4.0,"318,651","7,296","2,026",매튜 본,"[제임스 맥어보이, 마이클 패스벤더, 케빈 베이컨]",12세 관람가,판타지,미국,132.0,2011.0,"{""1"":613,""2"":3371,""3"":913,""4"":9301,""5"":4421,""6"":51310,""7"":28031,""8"":116710,""9"":24844,""10"":79137}",우리는 어떻게 &#x27;엑스맨&#x27; 시리즈를 다시 사랑하게 되었나.
1번가의 기적,1.0,2.89138,,"118,310",744,306,윤제균,"[임창정, 하지원, 강예원]",15세 관람가,코미디,한국,113.0,2007.0,"{""1"":1961,""2"":9659,""3"":2886,""4"":20436,""5"":7325,""6"":39034,""7"":8494,""8"":20845,""9"":1265,""10"":6405}",
고지전,1.0,3.49318,,"302,617","3,902","1,186",장훈,"[고수, 신하균, 류승룡]",15세 관람가,전쟁,한국,133.0,2011.0,"{""1"":1387,""2"":7857,""3"":2164,""4"":22027,""5"":9722,""6"":84660,""7"":32414,""8"":97612,""9"":9616,""10"":35158}",
마더,2.0,3.50151,,"247,970","11,139","1,854",봉준호,"[김혜자, 원빈, 진구]",청소년 관람불가,스릴러,한국,128.0,2009.0,"{""1"":1010,""2"":6508,""3"":1750,""4"":20211,""5"":7172,""6"":68249,""7"":24673,""8"":76990,""9"":11875,""10"":29532}",
오싹한 연애,1.0,3.25816,,"311,284","2,914",846,황인호,"[손예진, 이민기, 신성훈]",12세 관람가,로맨틱 코미디,한국,114.0,2011.0,"{""1"":2753,""2"":12449,""3"":5028,""4"":35529,""5"":16898,""6"":94560,""7"":29346,""8"":77567,""9"":5923,""10"":31231}",
하모니,1.0,3.66663,2.0,"347,077","3,670",885,강대규,"[김윤진, 나문희, 정수영]",12세 관람가,드라마,한국,115.0,2009.0,"{""1"":2589,""2"":9473,""3"":3640,""4"":23719,""5"":11854,""6"":74247,""7"":29411,""8"":99472,""9"":15196,""10"":77476}",인공 눈물.
헬로우 고스트,3.0,3.41475,,"316,471","2,601","1,219",김영탁,"[차태현, 강예원, 고창석]",12세 관람가,코미디,한국,111.0,2010.0,"{""1"":2409,""2"":11565,""3"":4170,""4"":30415,""5"":13839,""6"":83881,""7"":30833,""8"":84486,""9"":10950,""10"":43923}",
해리 포터와 불사조 기사단,4.0,3.78004,,"380,267","2,166",801,데이빗 예이츠,"[다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트]",전체 관람가,판타지,"미국, 영국",137.0,2007.0,"{""1"":1321,""2"":6665,""3"":1890,""4"":18294,""5"":9987,""6"":84004,""7"":36188,""8"":114780,""9"":14754,""10"":92384}",
