0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
288,561,2032,3416,6295,13240,25718,3554,30097,8334
730,1339,1872,3835,5814,2874,9108,317,3861,899
482,961,3364,5486,11430,27109,52436,13185,82530,35433
1498,1860,4755,2979,8409,1689,8467,154,2996,798
4514,2823,8046,3841,8484,3091,9982,603,4749,2633
4623,3850,7983,5638,11307,4200,13534,577,6021,2237
3657,4589,9147,8958,19576,6338,24014,699,8178,2194
1544,3193,7844,13207,25326,29300,76022,7567,69791,37697
2972,4411,6405,13087,17231,22602,43937,5275,35124,13356
4360,5514,15647,9522,28774,7242,37099,990,16669,6575
535,1105,1875,2906,5952,2544,9767,245,3477,797
4164,6295,16427,18565,42308,25362,85441,4827,47759,15982
4628,3961,13543,9505,21187,18155,50448,7420,58202,58897
600,1159,2401,5509,8228,17768,31259,4950,33597,10390
985,1622,5843,5026,12566,12215,29658,5054,29058,12551
832,1305,4454,5366,11127,25553,48281,21670,99658,74111
159,232,765,705,1753,2535,4890,833,6065,1620
1298,1700,5901,6986,16375,34513,65558,21634,112597,50563
117,140,1235,679,2082,5069,8491,5957,19881,11637
404,585,2541,2241,5399,9506,18402,7115,30537,16650
230,328,1554,1542,3807,9213,18717,6107,34028,15487
156,287,1791,1559,4206,8309,17213,4206,27756,10441
202,268,2201,1141,4211,7302,15370,6867,31050,16091
494,652,2527,3394,6830,24030,37440,17680,89429,45940
1156,1740,7022,6315,16277,20523,53876,13155,86159,72781
332,563,1812,3646,5477,19374,28887,11324,59071,34581
1064,1973,3163,8912,10646,30419,45172,9784,60075,29947
278,507,2037,2300,6244,10160,26653,3025,32105,9364
350,660,2171,3112,6433,17306,34239,8687,67576,29752
276,365,1476,1925,3928,17772,30771,14587,91244,65802
389,943,2490,4922,7854,17443,35213,5886,46077,18250
257,330,1155,1288,2454,8412,10796,10716,29022,18982
694,1202,3688,5456,11426,24772,50285,15423,90565,56807
943,1447,4105,4481,9384,8019,19819,3397,18212,8660
1774,3477,5125,14406,17676,38677,62680,13628,75206,33941
1247,1193,6516,4519,13570,24173,55266,38099,137720,143806
1547,2242,5198,7989,14666,13999,38101,2538,26421,7708
619,1109,3302,4214,8733,8828,24212,1996,19951,6093
917,1838,5139,9116,18027,30646,75167,11970,103712,60256
829,1812,4594,7831,16394,15857,52474,2202,37739,9967
1246,2047,6684,7645,17938,18994,56617,5528,62533,29748
1231,1675,6674,7739,17092,39458,84456,25448,158380,134670
304,436,1535,2581,4676,16887,29990,10124,66684,31651
567,936,2890,5305,9839,34581,64526,18022,136895,75453
1287,1288,3875,4165,6942,13426,22915,6517,36346,22951
265,359,1064,1483,2370,6615,9560,4219,18547,11627
154,202,1317,1057,2658,9119,16130,5182,35775,16252
104,169,1038,890,2037,6723,10949,6279,26696,15965
723,872,4951,3263,10121,16981,36031,27477,83660,99379
1319,1979,6953,8631,17958,42021,80034,39152,177152,173347
1034,1429,4428,5537,10331,26591,45174,21327,99255,96589
305,427,2078,1803,4372,10207,18543,7597,36668,22707
538,862,2911,4295,9152,16766,41344,12179,72282,66444
944,1181,4509,5482,11709,30742,64490,29064,155289,142256
594,1061,3361,4573,9324,27502,48107,31350,112075,101577
720,1008,2675,4103,6386,17989,27235,14873,53356,42280
774,1141,5078,4630,11953,22164,47349,26216,101093,101763
556,926,2842,4323,9663,19621,45325,13280,84889,67836
1032,1599,5414,7881,16206,45479,94380,31623,203987,159312
574,796,2506,4365,7226,33115,48677,34208,135556,99986
693,762,4791,3019,9541,19382,38286,29112,103179,96940
126,211,1406,926,2681,7007,12362,7272,27048,19708
121,136,621,497,1140,3574,5496,4551,15125,14107
375,528,1850,3209,5848,26364,43572,22589,116388,66107
187,230,1362,1013,2529,7110,11668,7684,27615,21804
832,1189,3702,5697,10566,35681,60970,34154,152720,118903
290,359,1947,1608,3712,11697,20207,13640,54812,41328
774,906,3446,3737,7920,21949,40465,21740,98905,88078
559,588,3099,3002,6341,19183,32015,21644,83127,74661
121,139,867,483,1469,3780,5596,6844,17324,15567
736,1041,3586,4618,9728,28332,55722,27035,133502,111962
609,692,3680,2505,7508,15585,34289,22226,93439,96153
1115,1361,4251,4957,9519,25010,37694,32502,87366,76531
977,1196,4645,6219,11451,42507,72667,38092,206135,210245
636,545,3149,2040,5354,15502,26961,27627,89067,110659
461,467,3261,1745,5785,11734,22579,21577,63830,74555
530,569,2450,2364,5108,17292,31611,21919,94908,92727
597,573,3201,2784,6563,19787,36344,20765,106303,108454
2026,2121,8404,7329,16272,33252,60354,50171,154591,224722
252,171,1620,563,1951,2620,5932,3199,13624,17817
576,544,2633,2239,4892,16262,28381,31251,104163,143215
676,497,3202,1959,4694,11282,22444,31120,80206,166213
674,852,3576,3588,8900,22035,47903,33448,132079,161395
