name,이동진 별점,이동진 코멘트
대로리,1.5,로봇은 싸우고 관객은 방치된다
이태현,4.0,끼엥에 꾸에에엑 끼에에엥 에엥? 에에에 끼에~ 투쾅투쾅
Youkheon Lee,3.5,"서울을 종횡무진 돌아다니며 벌이는 활극은 참 즐겁다. 눈에 익은 풍경과 낯익은 거리를 멋진 배우들이 달리는 것도, 늘 지나던 길의 어느 이면에서 전혀 생경한 풍경을 마주하는 것도."
1주일에 영화 한편,4.5,"우리나라 영화중 이토록 서스펜서하고 사회비판적인 영화가 있을까?? 경찰청장으로 공권력이 어떠한지 보여주고 마지막은 장렬한 최후요. 결국 모든걸 잃은 우리의 모습이었다
★★★☆"
김보성,2.0,잘생긴 배우만 있으면 알맹이가 없어도 흥행할 수 있다.
조현아,3.0,배우들 연기가 아깝다. 중반까지 사운드 참 잘 썼다 싶었다가 결국엔 남용했단 결론을 내렸다. 살릴 부분을 못살려 절정에선 감독 의도와 달리 짜증이 난다.  
바나나우유,3.0,액션 보는 재미는 충분하다고 생각한다. 욜라뽕따이~~~~!!!!!
이동진 평론가,5.0,어떤 영화는 관람이 아니라 체험된다. 경이롭다.
ByoungKi Hong,4.0,"이 영화의 등장은 충신장을 떠오르게 한다. 다들 잊고 숨어 있어도, 마음속에는 품고 있을듯"
hubris,3.5,"도전하는 그 순간, 상상은 현실이 되고 꿈은 삶이 된다"
스따벅스,3.0,왜 한국 코메디는 잘 나가다가 꼭 막판가서 울고짜지 않으면 안되는지 왕짜증남. 그것만 분량줄였다면 나름 유쾌한 영화였음
배덕환,3.5,약의 부작용으로 주드로도 탈모가 진행중
김성호 영화팬,,이연희 연기를 돈내고 보라고?
심초딩,5.0,여러분은 남자 주인공이 점점 잘 생겨지는 기적을 만나게 될 겁니다.
이성환,4.0,지은 죄를 눈감아달라는 것이 아니다. 잘못한 것에 응당한 처벌을 받을 기회를 줘야했다. 하지만 나라는 그녀를 외면했다. 방치했다.
이동진 평론가,4.0,"만들고 싶은, 만들 수 밖에 없는, 만들어서 모두가 좋은."
백종진,4.5,"데자뷰 현상에 대해서 이런식으로도 해석이 되다니... 
재감상을 하면서 수많은 복선들을 찾는 재미까지 더해진다."
이동진 평론가,4.0,모든 장면에 다이너마이트가 장착되어 있다.
심동현,2.5,윤하 출연영화. 그 이상도 이하도 아니다.
Emily Blunt,3.0,대체왜 톰하디랑 크리스 파인이 리즈 위더스푼때문에 싸워야하나요
김홍기,5.0,주이 디샤넬 완전이쁘게나옴
LimH,3.0,하필 소개팅날 본 영화가.....
이동진 평론가,2.5,무엇을 위한 디테일인가.
Any Jeon,2.0,아빠의 자상함을 가진 꽃미남의 미소라니. 17살로 돌아간 중년은 너무 완벽한 이상형.
박다흰,5.0,"&quot;진짜 실패자는 지는게 싫어서 
도전 조차 안하는 사람이야&quot;
"
오뱅이삼촌,3.0,연기자들의 잘 못은 아니지만 차승원도 한석규도 너무 익숙한 케릭터에 예상되는 연기라 기대치가 없었다..
tpark,3.0,"&quot;류승범이 양아치 연기를 잘하는게 아니고, 그냥 양아치가 연기를 잘 하는 것&quot;"
