,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
50,킹스맨 : 시크릿 에이전트,4.0,4.16182,,288696.0,10265.0,14247.0,128.0,2015.0,802,944,1311,4985,3316,35876,19027,62282,84490,75663,매튜본 태론에거튼 콜린퍼스 사무엘L잭슨 청소년관람불가 액션 미국 영국
51,인터스텔라,4.0,4.31023,,345271.0,11782.0,15881.0,169.0,2014.0,1098,1238,1756,5013,3820,31615,19628,71713,75827,133563,크리스토퍼놀란 매튜맥커너히 앤해서웨이 제시카차스테인 12세관람가 SF 미국 영국
52,위플래쉬,4.0,4.11632,,165181.0,21200.0,12593.0,106.0,2014.0,972,970,1628,3575,3185,19378,12791,36567,40930,45185,다미엔차젤레 마일즈텔러 JK시몬스 폴레이저 15세관람가 드라마 미국
53,비긴 어게인,4.0,4.07171,,332273.0,16980.0,11078.0,104.0,2013.0,1367,1630,2511,8061,5788,44802,31808,58274,89955,88077,존카니 키이라나이틀리 마크러팔로 애덤리바인 15세관람가 드라마 미국
54,이미테이션 게임,4.0,3.8334,,161022.0,16670.0,6616.0,114.0,2014.0,641,855,1311,4960,3356,34024,20294,24067,50880,20634,모튼틸덤 베네딕트컴버배치 키이라나이틀리 매튜구드 15세관람가 드라마 미국 영국
55,그녀,4.0,4.00045,4.0,176084.0,34142.0,8377.0,126.0,2013.0,960,1141,1884,4404,4066,24186,16686,32808,51203,38746,스파이크존즈 호아킨피닉스 스칼렛요한슨 에이미아담스 청소년관람불가 드라마 미국
56,누구나 비밀은 있다,2.0,2.524,,40000.0,459.0,258.0,105.0,2004.0,1406,2508,3325,4953,8986,3143,11697,208,3095,679,장현수 이병헌 최지우 추상미 청소년관람불가 로맨틱 코미디 한국
57,글루미 썬데이,4.0,3.70622,,28381.0,9412.0,353.0,112.0,1999.0,73,134,438,736,1298,3735,6086,1959,9685,4237,롤프슈벨 조아킴크롤 스테파노디오니시 벤벡커 청소년관람불가 로맨스 멜로 독일 헝가리
58,공공의 적,3.0,3.78622,,228114.0,4925.0,642.0,138.0,2002.0,594,954,3673,4096,9600,20345,48171,9113,85783,45785,강우석 설경구 이성재 강신일 청소년관람불가 스릴러 한국
59,40살까지 못해본 남자,2.0,3.12257,,15819.0,2588.0,199.0,115.0,2005.0,142,252,660,1134,1783,2139,5326,265,3367,751,주드아패토우 스티브카렐 캐서린키너 폴러드 청소년관람불가 코미디 미국
60,아메리칸 뷰티,4.0,3.76219,4.0,76360.0,20500.0,1051.0,122.0,1999.0,175,321,1410,1277,3467,7609,15470,6124,27989,12518,샘멘데스 케빈스페이시 아네트베닝 미나수바리 청소년관람불가 드라마 미국
61,8 마일,3.0,3.67604,,114857.0,7150.0,986.0,110.0,2002.0,389,627,2083,3056,5370,14647,25900,6328,39126,17331,커티스핸슨 에미넴 킴베신저 브리터니머피 청소년관람불가 드라마 미국
62,에이트 빌로우,2.0,3.77096,,40949.0,3862.0,347.0,120.0,2006.0,100,178,555,893,1481,5116,8305,2809,14661,6851,프랭크마샬 폴워커 브루스그린우드 문블러드굿 전체관람가 드라마 미국
63,로맨틱 아일랜드,1.0,2.46445,,10224.0,718.0,67.0,107.0,2008.0,424,655,1267,979,2360,520,2689,57,945,328,강철우 이선균 이수경 이문식 15세관람가 로맨틱 코미디 한국
64,황산벌,1.0,3.00628,4.0,175495.0,1148.0,588.0,104.0,2003.0,2677,3934,11759,10756,26234,16747,54950,2742,35051,10645,이준익 박중훈 정진영 이문식 15세관람가 코미디 한국
65,생활의 발견,2.0,3.25486,,24305.0,2220.0,261.0,115.0,2002.0,185,351,1015,1139,2663,3157,6969,764,6405,1657,홍상수 김상경 추상미 예지원 청소년관람불가 로맨스 멜로 한국
