DESC,감독,배우,평가자수,보고싶어요수,코멘트수,별점분포
"Edge of Tomorrow, 2014, 미국, 액션, SF, 12세 관람가, 1시간 53분",더그 라이만,"[톰 크루즈, 에밀리 블런트, 샤롯 라일리]","225,267","10,714","6,440","{""1"":502,""2"":1003,""3"":941,""4"":3334,""5"":5231,""6"":22810,""7"":40654,""8"":75987,""9"":37065,""10"":37740}"
"Jurassic Park, 1993, 미국, SF, 액션, 12세 관람가, 2시간 3분",스티븐 스필버그,"[샘 닐, 로라 던, 제프 골드브럼]","188,541","2,363",962,"{""1"":461,""2"":3089,""3"":649,""4"":7525,""5"":2662,""6"":35468,""7"":14736,""8"":67778,""9"":10963,""10"":45210}"
"X-Men: Days of Future Past, 2014, 미국, 액션, 판타지, SF, 12세 관람가, 2시간 14분",브라이언 싱어,"[휴 잭맨, 제임스 맥어보이, 마이클 패스벤더]","202,434","8,062","4,601","{""1"":547,""2"":946,""3"":721,""4"":2902,""5"":4252,""6"":20105,""7"":28999,""8"":67366,""9"":31665,""10"":44931}"
"No Country For Old Men, 2007, 미국, 스릴러, 범죄, 청소년 관람불가, 2시간 2분",조엘 코엔,"[하비에르 바르뎀, 토미 리 존스, 조슈 브롤린]","126,654","31,862","2,657","{""1"":459,""2"":3318,""3"":523,""4"":6086,""5"":1799,""6"":18620,""7"":9158,""8"":40236,""9"":12849,""10"":33606}"
"Kingsman: The Secret Service, 2015, 미국, 영국, 액션, 스릴러, 청소년 관람불가, 2시간 8분",매튜 본,"[태론 에거튼, 콜린 퍼스, 사무엘 L. 잭슨]","288,696","10,265","14,247","{""1"":802,""2"":1311,""3"":944,""4"":3316,""5"":4985,""6"":19027,""7"":35876,""8"":84490,""9"":62282,""10"":75663}"
"Interstellar, 2014, 미국, 영국, SF, 드라마, 12세 관람가, 2시간 49분",크리스토퍼 놀란,"[매튜 맥커너히, 앤 해서웨이, 제시카 차스테인]","345,271","11,782","15,881","{""1"":1098,""2"":1756,""3"":1238,""4"":3820,""5"":5013,""6"":19628,""7"":31615,""8"":75827,""9"":71713,""10"":133563}"
"Whiplash, 2014, 미국, 드라마, 15세 관람가, 1시간 46분",다미엔 차젤레,"[마일즈 텔러, J.K. 시몬스, 폴 레이저]","165,181","21,200","12,593","{""1"":972,""2"":1628,""3"":970,""4"":3185,""5"":3575,""6"":12791,""7"":19378,""8"":40930,""9"":36567,""10"":45185}"
"Begin Again, 2013, 미국, 드라마, 로맨스/멜로, 15세 관람가, 1시간 44분",존 카니,"[키이라 나이틀리, 마크 러팔로, 애덤 리바인]","332,273","16,980","11,078","{""1"":1367,""2"":2511,""3"":1630,""4"":5788,""5"":8061,""6"":31808,""7"":44802,""8"":89955,""9"":58274,""10"":88077}"
"The Imitation Game, 2014, 미국, 영국, 드라마, 스릴러, 15세 관람가, 1시간 54분",모튼 틸덤,"[베네딕트 컴버배치, 키이라 나이틀리, 매튜 구드]","161,022","16,670","6,616","{""1"":641,""2"":1311,""3"":855,""4"":3356,""5"":4960,""6"":20294,""7"":34024,""8"":50880,""9"":24067,""10"":20634}"
"Her, 2013, 미국, 드라마, 멜로/로맨스, 청소년 관람불가, 2시간 6분",스파이크 존즈,"[호아킨 피닉스, 스칼렛 요한슨, 에이미 아담스]","176,084","34,142","8,377","{""1"":960,""2"":1884,""3"":1141,""4"":4066,""5"":4404,""6"":16686,""7"":24186,""8"":51203,""9"":32808,""10"":38746}"
"Everybody Has Secrets, 2004, 한국, 로맨틱 코미디, 청소년 관람불가, 1시간 45분",장현수,"[이병헌, 최지우, 추상미]","40,000",459,258,"{""1"":1406,""2"":3325,""3"":2508,""4"":8986,""5"":4953,""6"":11697,""7"":3143,""8"":3095,""9"":208,""10"":679}"
"Gloomy Sunday: Ein Lied Von Liebe Und Tod, 1999, 독일, 헝가리, 로맨스/멜로, 드라마, 청소년 관람불가, 1시간 52분",롤프 슈벨,"[조아킴 크롤, 스테파노 디오니시, 벤 벡커]","28,381","9,412",353,"{""1"":73,""2"":438,""3"":134,""4"":1298,""5"":736,""6"":6086,""7"":3735,""8"":9685,""9"":1959,""10"":4237}"
"Public Enemy, 2002, 한국, 스릴러, 액션, 코미디, 청소년 관람불가, 2시간 18분",강우석,"[설경구, 이성재, 강신일]","228,114","4,925",642,"{""1"":594,""2"":3673,""3"":954,""4"":9600,""5"":4096,""6"":48171,""7"":20345,""8"":85783,""9"":9113,""10"":45785}"
"The 40 Year Old Virgin, 2005, 미국, 코미디, 로맨스/멜로, 청소년 관람불가, 1시간 55분",주드 아패토우,"[스티브 카렐, 캐서린 키너, 폴 러드]","15,819","2,588",199,"{""1"":142,""2"":660,""3"":252,""4"":1783,""5"":1134,""6"":5326,""7"":2139,""8"":3367,""9"":265,""10"":751}"
"American Beauty, 1999, 미국, 드라마, 코미디, 청소년 관람불가, 2시간 2분",샘 멘데스,"[케빈 스페이시, 아네트 베닝, 미나 수바리]","76,360","20,500","1,051","{""1"":175,""2"":1410,""3"":321,""4"":3467,""5"":1277,""6"":15470,""7"":7609,""8"":27989,""9"":6124,""10"":12518}"
"8 Mile, 2002, 미국, 드라마, 청소년 관람불가, 1시간 50분",커티스 핸슨,"[에미넴, 킴 베신저, 브리터니 머피]","114,857","7,150",986,"{""1"":389,""2"":2083,""3"":627,""4"":5370,""5"":3056,""6"":25900,""7"":14647,""8"":39126,""9"":6328,""10"":17331}"
"Eight Below, 2006, 미국, 드라마, 액션, 전체 관람가, 2시간 ",프랭크 마샬,"[폴 워커, 브루스 그린우드, 문 블러드굿]","40,949","3,862",347,"{""1"":100,""2"":555,""3"":178,""4"":1481,""5"":893,""6"":8305,""7"":5116,""8"":14661,""9"":2809,""10"":6851}"
"2008, 한국, 로맨틱 코미디, 15세 관람가, 1시간 47분",강철우,"[이선균, 이수경, 이문식]","10,224",718,67,"{""1"":424,""2"":1267,""3"":655,""4"":2360,""5"":979,""6"":2689,""7"":520,""8"":945,""9"":57,""10"":328}"
"Once Upon A Time In The Battlefield, 2003, 한국, 코미디, 전쟁, 15세 관람가, 1시간 44분",이준익,"[박중훈, 정진영, 이문식]","175,495","1,148",588,"{""1"":2677,""2"":11759,""3"":3934,""4"":26234,""5"":10756,""6"":54950,""7"":16747,""8"":35051,""9"":2742,""10"":10645}"
"生活의 發見: On the Occasion Of Remembering The Turning Gate, 2002, 한국, 로맨스/멜로, 드라마, 청소년 관람불가, 1시간 55분",홍상수,"[김상경, 추상미, 예지원]","24,305","2,220",261,"{""1"":185,""2"":1015,""3"":351,""4"":2663,""5"":1139,""6"":6969,""7"":3157,""8"":6405,""9"":764,""10"":1657}"
"A Barefoot Dream, 2010, 한국, 일본, 드라마, 전체 관람가, 2시간 1분",김태균,"[박희순, 고창석, 프란시스코 프렌큐 아마랄...]","24,013",996,172,"{""1"":175,""2"":695,""3"":324,""4"":2004,""5"":1346,""6"":7365,""7"":3247,""8"":6190,""9"":725,""10"":1942}"
"You Are the Apple of My Eye, 2011, 대만, 로맨스/멜로, 드라마, 15세 관람가, 1시간 47분",구파도,"[가진동, 진연희, 언승우]","210,095","25,167","3,953","{""1"":820,""2"":3010,""3"":1245,""4"":7081,""5"":5197,""6"":27173,""7"":22583,""8"":59542,""9"":22404,""10"":61041}"
"2012, 한국, 코미디, 15세 관람가, 2시간 7분",조진규,"[박신양, 정혜영, 김정태]","233,706","2,061",842,"{""1"":5160,""2"":17861,""3"":6439,""4"":35861,""5"":15801,""6"":67644,""7"":19361,""8"":44354,""9"":3617,""10"":17608}"
"Boys Over Flowers: Final, 2008, 일본, 로맨스/멜로, 12세 관람가, 2시간 10분",이시이 야스하루,"[아베 츠요시, 이노우에 마오, 마츠모토 준]","36,797",484,159,"{""1"":1528,""2"":3324,""3"":1606,""4"":6125,""5"":3025,""6"":9986,""7"":2810,""8"":5288,""9"":502,""10"":2603}"
"The Amazing Spider-Man 2, 2014, 미국, 액션, 판타지, 12세 관람가, 2시간 22분",마크 웹,"[앤드류 가필드, 엠마 스톤, 제이미 폭스]","186,029","4,882","3,758","{""1"":1210,""2"":2123,""3"":2327,""4"":8699,""5"":11206,""6"":38915,""7"":34900,""8"":50366,""9"":12465,""10"":23818}"
"Infernal Affairs 3, 2003, 홍콩, 범죄, 스릴러, 드라마, 15세 관람가, 1시간 57분",맥조휘,"[유덕화, 양조위, 여명]","34,346","2,529",279,"{""1"":121,""2"":779,""3"":176,""4"":1895,""5"":840,""6"":7213,""7"":3462,""8"":10762,""9"":1953,""10"":7145}"
"Harold & Kumar Go To White Castle, 2004, 미국, 캐나다, 코미디, 청소년 관람불가, 1시간 27분",대니 레이너,"[존 조, 칼 펜, 폴라 가시스]","14,818","2,116",226,"{""1"":101,""2"":507,""3"":176,""4"":1203,""5"":622,""6"":3522,""7"":1853,""8"":4387,""9"":614,""10"":1833}"
"Home Alone 3, 1997, 미국, 코미디, 가족, 전체 관람가, 1시간 42분",라자 고스넬,"[레니 본 돌렌, 마리안 셀즈, 리아 킬스테트]","175,265",916,707,"{""1"":2520,""2"":6206,""3"":4330,""4"":17921,""5"":12737,""6"":46014,""7"":20903,""8"":39197,""9"":5553,""10"":19884}"
"2010, 한국, 액션, 스릴러, 15세 관람가, 1시간 40분",권혁재,"[설경구, 이정진, 오달수]","35,242",929,190,"{""1"":511,""2"":2464,""3"":1067,""4"":6518,""5"":3047,""6"":12120,""7"":2851,""8"":4883,""9"":297,""10"":1484}"
"Let Me In, 2010, 영국, 미국, 공포, 판타지, 15세 관람가, 1시간 56분",맷 리브스,"[클로이 모레츠, 코디 스밋 맥피, 리차드 젠킨스]","55,614","8,694",761,"{""1"":357,""2"":1429,""3"":606,""4"":3980,""5"":2595,""6"":14048,""7"":8084,""8"":16067,""9"":2660,""10"":5788}"
"10 Things I Hate About You, 1999, 미국, 로맨틱 코미디, 12세 관람가, 1시간 37분",길 정거,"[히스 레저, 수잔 메이 플랫, 줄리아 스타일즈]","51,157","15,118","1,006","{""1"":112,""2"":632,""3"":201,""4"":1676,""5"":1115,""6"":9097,""7"":6440,""8"":17346,""9"":4110,""10"":10428}"
"Happy Life, 2007, 한국, 드라마, 코미디, 전체 관람가, 1시간 52분",이준익,"[정진영, 김윤석, 장근석]","47,813","1,106",314,"{""1"":345,""2"":1751,""3"":812,""4"":5533,""5"":3366,""6"":16086,""7"":5635,""8"":10586,""9"":1008,""10"":2691}"
